customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
1,,Moore,,+1 360-878-7151,1994-09-22,,France,58450.0,Bronze,2021-03-18,2026-03-15,False,False
2,Peter,Brown,peter.brown2@email.com,+1 213-336-6785,1999-07-11,San Antonio,France,34219.0,Gold,2022-06-23,2024-08-18,True,False
3,Sophie,Miller,sophie.miller3@email.com,+1 213-386-4599,1989-10-09,,UK,54150.0,Platinum,2023-12-25,2025-01-08,False,False
4,Mary,Wilson,mary.wilson4@email.com,+1 421-720-4881,,Los Angeles,USA,38505.0,Gold,2020-02-24,2022-06-27,True,False
5,Matthew,Williams,matthew.williams5@email.com,+1 228-328-8566,1993-01-10,Phoenix,USA,73997.0,Bronze,2022-09-27,2024-03-22,True,True
6,Gabriel,,gabriel.brown6@email.com,+1 935-822-3930,1970-09-23,Dallas,UK,79966.0,Silver,,2021-04-20,True,True
7,Charles,Davis,charles.davis7@email.com,+1 233-867-7684,1970-07-01,San Antonio,UK,75234.0,Silver,2022-10-30,2024-03-07,True,False
8,Luke,Johnson,luke.johnson8@email.com,+1 961-942-6073,1972-09-02,Austin,USA,83163.0,Platinum,2022-08-21,2022-10-17,False,False
9,,Jones,gabriel.jones9@email.com,+1 830-595-7274,1974-02-11,Los Angeles,Mexico,76429.0,Silver,,2022-06-26,False,False
10,Camilla,Taylor,camilla.taylor10@email.com,+1 254-363-1004,1974-07-12,LOS ANGELES,USA,74024.0,Gold,2021-10-05,2024-03-16,True,False
11,Peter,Johnson,peter.johnson11@email.com,,1988-06-25,,USA,81898.0,Glod,,2024-07-17,True,False
12,Camilla,Brown,camilla.brown12@email.com,+1 435-142-8552,,Philadelphia,USA,95403.0,Silver,2020-12-24,2023-12-20,False,True
13,Valerie,Brown,valerie.brown13@email.com,+1 545-985-6033,2026-06-14,Austin,UK,37885.0,Bronze,2020-10-01,2024-12-22,True,False
14,Lucy,Brown,lucy.brown14@email.com,+1 955-436-8842,1998-05-23,San Antonio,Canada,50116.0,Gold,2020-03-30,2025-06-22,True,True
15,Luke,Brown,luke.brown15@email.com,"+1 567-181-3483
",2004-05-18,Los Angeles,UK,92811.0,Bronze,2023-03-24,2023-12-04,True,False
16,Mary,Johnson,mary.johnson16@email.com,+1 363-642-4609,2002-11-16,,USA,76198.0,Platinum,2021-06-25,2024-07-08,True,False
17,Martin,Taylor,martin.taylor17@email.com,+1 230-535-4628,1972-11-10,San Antonio,USA,21324.0,Silver,2021-12-03,2023-09-28,True,False
18,Mary,Moore,mary.moore18@email.com,+1 955-276-7474,1986-04-01,New York,Mexico,-52064.0,Silver,2024-03-15,2025-12-26,True,False
19,David,Brown,david.brown19@email.com,+1 948-281-4891,,San Antonio,,0.0,Bronze,2023-02-05,,True,True
20,Sophie,Brown,sophie.brown20@email.com,+1 399-717-4240,1992-06-27,San Diego,USA,49324.0,Godl,2023-10-28,2024-06-23,True,False
21,Lucy,Brown,lucy.brown21@email.com,+1 891-923-1252,,Houston,UK,24415.0,Bronze,2022-05-19,2024-12-15,True,True
22,Matthew,Moore,matthew.moore22@email.com,+1 906-798-9985,1998-11-07,New York,Mexico,72530.0,,2022-09-22,2024-11-16,True,False
23,martin,"Jones
",martin.jones23@email.com,+1 811-356-5366,1961-11-16,,USA,89063.0,Platinum,,,True,True
24,Luke,Johnson,luke.johnson24@email.com,,,"Chicago
",Canada,96674.0,Bronze,2020-02-13,2024-05-17,True,True
25,Martin,Miller,martin.miller25@email.com,+1 798-124-9111,1965-09-16,,USA,33752.0,Bronze,2021-01-26,2026-03-30,True,False
26,Sophie,Jones,sophie.jones26@email.com,+1 929-244-7522,1970-08-21,Chicago,UK,42665.0,Gold,2021-01-30,2021-11-08,True,True
